Record,custid,SUBSCRIBE,Disc,Title,LastOrder,Pcode,DA_Income,DA_Under20,DA_Over60,DA_Single,NumDeliv,NumMeals,MealsPerDeliv,Healthy,Veggie,Meaty,Special,TotPurch,Weeks3Meals,Sample
988,3300194,N,NA,NA,1/15/2018,K2S 1Z3,69.2,157,146,38,13,39,3,24,0,12,3,469.3018849,NA,Estimation
989,2693187,NA,Student,NA,12/16/2017,T4V 0R3,85.6,174,105,35,15,15,1,4,6,2,3,209.3333028,NA,Holdout
990,2126587,N,Senior,NA,2/12/2018,R5G 2J,83.5,162,121,9,39,39,1,5,2,22,10,487.020254,NA,Estimation
991,1661139,N,NA,NA,2/16/2018,J0X 2W,60.3,326,121,32,13,39,3,13,9,0,17,532.5923863,NA,Estimation
992,1328684,NA,NA,NA,2/9/2018,E8A 3R,56.6,116,184,44,28,56,2,0,1,4,51,580.4094793,NA,Holdout
993,2648386,N,NA,Ms,12/7/2017,K7G 0Y,80.3,11,209,51,24,24,1,10,0,5,9,309.2034557,NA,Validation
994,2790468,N,NA,Ms,2/4/2018,G6L 3T,91,238,86,28,22,66,3,31,10,0,25,749.9089073,NA,Estimation
995,2244635,N,Student,Mr,11/20/2017,B2E 1P,72.4,253,97,58,12,24,2,23,1,0,0,247.3573554,NA,Estimation
996,1422096,N,Senior,Mrs,2/10/2018,R1A 1W,63.7,186,155,42,13,26,2,13,1,10,2,356.9672975,NA,Estimation
997,3244864,NA,NA,NA,1/24/2018,G5V 1H,52.4,183,199,53,22,44,2,31,4,0,9,446.8552415,NA,Holdout
998,2224889,N,NA,Mr,12/22/2017,J8N 2W,61.6,314,120,39,22,44,2,4,8,7,25,465.550666,NA,Validation
999,2469967,N,NA,NA,12/3/2017,M4W 2R,40.3,48,148,51,21,21,1,12,9,0,0,263.8678199,NA,Validation
1000,2314479,N,NA,Ms,1/31/2018,J5R 0V,56.1,124,156,15,18,36,2,13,3,11,9,413.0622755,NA,Estimation
1001,2723246,N,NA,Ms,11/20/2017,N3Y 0L3,92.7,251,94,13,11,11,1,0,0,0,11,146.7611127,NA,Estimation
1002,2065163,NA,NA,Mrs,11/4/2017,L7B 0K9,92.2,227,179,59,13,39,3,15,2,0,22,445.4639084,NA,Holdout
1003,2912175,NA,NA,NA,2/21/2018,E3E 3C8,52.6,290,89,57,22,66,3,1,1,9,55,672.2203109,NA,Holdout
1004,1327863,N,Senior,Mr,2/15/2018,M1B 2Y6,74.2,143,211,61,29,58,2,3,3,43,9,659.147796,NA,Estimation
1005,1116609,N,NA,Mr,2/1/2018,L7J 1W0,71.4,87,207,32,29,58,2,14,0,12,32,746.156985,NA,Estimation
1006,2932356,N,NA,NA,1/27/2018,B2G 2Z3,36.7,265,102,37,38,76,2,0,44,11,21,1057.996228,NA,Validation
1007,1273678,NA,NA,Mr,11/3/2017,T4X 2L5,86.2,326,102,55,10,10,1,2,0,0,8,123.721429,NA,Holdout
1008,3003334,Y,NA,NA,1/30/2018,L9S 0V2,31.8,196,177,30,41,82,2,0,4,35,43,831.2956874,1,Estimation
1009,2011934,NA,NA,Mrs,2/25/2018,E8P 0P8,45.1,332,162,62,10,20,2,6,0,6,8,227.4436099,NA,Holdout
1010,3053788,N,NA,Mrs,12/5/2017,E7P 3V,90,310,143,69,23,46,2,8,2,1,35,569.2898276,NA,Estimation
1011,2661841,N,NA,Ms,2/16/2018,E4X 3R,59.2,235,116,52,26,52,2,2,7,4,39,706.0289958,NA,Validation
1012,2711435,N,NA,Mrs,1/24/2018,E8P 2J,65.7,230,153,76,33,99,3,49,20,7,23,1216.814404,NA,Validation
1013,2465667,N,NA,Ms,11/25/2017,T7Z 0L,37.6,111,140,33,18,54,3,15,1,9,29,660.6357331,NA,Validation
1014,1761543,N,NA,NA,12/22/2017,J5A 1G,41,356,150,68,21,21,1,3,1,15,2,264.759073,NA,Validation
1015,2860414,NA,NA,Mr,2/2/2018,E5P 2J,77,223,219,1,37,74,2,20,19,16,19,980.8820255,3,Holdout
1016,1647314,N,Student,Mr,3/1/2018,J8N 0S,66.5,190,130,44,22,44,2,20,1,7,16,466.9580342,NA,Validation
1017,3125998,NA,NA,Ms,12/28/2017,E5M 0C,58.2,148,116,38,16,48,3,19,6,22,1,496.7294078,NA,Holdout
1018,2434527,N,NA,Mr,1/28/2018,J1A 3L,43.3,5,126,9,40,80,2,38,0,36,6,899.6182865,NA,Estimation
1019,1612656,N,NA,Ms,2/1/2018,E7B 0V,48.1,177,136,41,24,72,3,33,2,20,17,758.8952254,NA,Validation
1020,2989124,NA,Senior,Ms,2/15/2018,E5A 0R,110.7,127,122,53,15,45,3,14,3,6,22,622.9521619,1,Holdout
1021,1234671,NA,NA,NA,2/3/2018,N4X 2K1,63.5,203,164,43,14,14,1,7,0,0,7,152.6287471,NA,Holdout
1022,3050456,NA,NA,Mrs,1/31/2018,G0C 3L6,85.5,308,229,44,41,82,2,5,17,5,55,1128.534007,2,Holdout
1023,1235255,N,NA,Mr,3/1/2018,J3T 1W6,85.7,267,222,12,26,52,2,13,1,33,5,556.4000668,NA,Estimation
1024,2360166,N,NA,NA,1/21/2018,J5W 0S1,85.3,71,171,46,23,46,2,19,6,0,21,550.7311321,NA,Estimation
1025,2431791,NA,NA,Ms,1/29/2018,G0T 0J4,75.9,209,137,57,41,41,1,9,0,6,26,428.5669671,0,Holdout
1026,1878577,N,Student,NA,12/26/2017,A0E 1Y1,45,127,96,33,21,42,2,35,5,1,1,505.428449,NA,Estimation
1027,1316452,NA,Senior,Mr,12/25/2017,J5A 2L3,49.8,79,110,19,14,28,2,5,2,5,16,384.6985415,NA,Holdout
1028,1192880,N,NA,Ms,12/15/2017,J0M 3W4,85,118,103,42,17,17,1,2,0,8,7,180.0802078,NA,Estimation
1029,1133858,N,Senior,Ms,1/16/2018,V9G 0S7,43.8,102,145,7,23,46,2,42,2,0,2,637.3164995,NA,Estimation
1030,1191234,NA,Student,Dr,12/4/2017,G0R 0K,80.6,129,266,23,15,15,1,2,1,0,12,199.2081033,NA,Holdout
1031,3016778,NA,NA,Ms,12/28/2017,J8H 1H,59.3,294,97,22,23,46,2,3,11,2,30,530.2381506,NA,Holdout
1032,3245070,Y,Student,NA,2/13/2018,E8B 3A,62,75,104,62,39,78,2,47,12,19,0,915.9543448,1,Estimation
1033,1540145,NA,Student,Mrs,2/9/2018,G0R 1H,54.2,225,137,54,10,10,1,0,0,0,10,127.2243474,NA,Holdout
1034,1349681,N,NA,Mr,12/5/2017,E5B 1H,65.4,202,132,56,15,30,2,24,0,4,2,374.1231287,NA,Validation
1035,2930311,N,Senior,Mrs,2/5/2018,T1G 3A,87.5,190,125,33,18,18,1,11,3,0,4,226.5198286,NA,Estimation
1036,2114597,N,NA,NA,12/10/2017,L6A 3A,79.1,199,109,43,24,48,2,0,0,21,27,531.0316459,NA,Estimation
1037,2973316,N,NA,Mr,12/20/2017,E6L 2W,65.4,174,193,47,17,17,1,0,0,2,15,212.3180404,NA,Estimation
1038,2018380,N,NA,NA,1/30/2018,H7B 0V,NA,192,NA,NA,33,66,2,0,0,18,48,795.7240791,NA,Estimation
1039,1350344,Y,NA,Mrs,2/1/2018,E5J 0E,103.1,316,93,58,34,102,3,54,23,18,7,1259.404707,2,Validation
1040,2342228,N,NA,Mr,2/18/2018,L7J 0W,69.9,308,135,35,16,16,1,10,1,5,0,190.9069255,NA,Estimation
1041,1146159,N,NA,NA,1/7/2018,J2N 1S7,79.4,231,153,51,24,48,2,9,2,16,21,646.8584934,NA,Estimation
1042,2080135,N,NA,Mrs,12/15/2017,N3Y 3P6,75.6,169,189,50,25,25,1,15,1,9,0,309.6297111,NA,Validation
1043,2678444,NA,Student,Mr,11/12/2017,S9X 1X3,50.4,284,95,26,14,28,2,3,0,7,18,332.4230525,NA,Holdout
1044,2958864,N,NA,Mr,1/8/2018,T1G 1Z9,51.5,100,247,32,18,54,3,0,5,37,12,612.198211,NA,Validation
1045,1774434,N,NA,NA,2/14/2018,H7X 3H8,108.4,195,91,24,32,64,2,38,0,25,1,844.5179226,NA,Estimation
1046,1831581,Y,NA,Mr,1/21/2018,J4V 0C8,87.6,214,147,27,38,114,3,18,11,33,52,1227.380773,3,Validation
1047,2298423,N,NA,Mrs,2/14/2018,T9M 1G6,84.8,252,114,6,34,68,2,28,0,14,26,882.6556238,NA,Validation
1048,1557567,N,Senior,Mr,1/25/2018,A1Y 2E4,73,173,116,55,14,28,2,2,2,0,24,281.2433249,NA,Estimation
1049,3117603,Y,NA,Mr,1/19/2018,V4V 3E8,79.7,366,119,35,9,18,2,0,2,1,15,233.818353,0,Estimation
1050,1696918,N,NA,Mr,2/13/2018,H8R 2L,73,137,124,8,26,78,3,32,22,24,0,848.7419513,NA,Validation
1051,3212722,N,NA,Mrs,1/15/2018,T4X 1T,70.8,127,123,72,17,34,2,20,0,2,12,415.7875803,NA,Validation
1052,2979301,N,NA,Mr,2/9/2018,K1E 2Y,74.5,365,116,24,16,32,2,15,0,7,10,321.9313753,NA,Estimation
1053,2573078,N,NA,Ms,12/24/2017,G4W 0G,49.8,239,101,66,24,48,2,10,2,4,32,604.5379273,NA,Validation
1054,3171826,N,NA,NA,1/19/2018,L4P 1W,118,168,142,65,23,69,3,20,2,18,29,734.1606523,NA,Validation
1055,1302248,Y,NA,NA,10/26/2017,J5A 0H,86,134,80,34,10,30,3,9,3,2,16,363.9128762,1,Estimation
1056,2261725,N,NA,NA,12/26/2017,L9T 2J,65,233,191,47,9,18,2,12,0,0,6,233.8381352,NA,Estimation
1057,2578047,N,NA,NA,12/23/2017,J4V 2J,94.3,216,127,16,25,50,2,10,4,0,36,653.183691,NA,Estimation
1058,3285340,N,NA,Dr,2/9/2018,H9P 3P,57.5,106,107,50,39,78,2,4,8,4,62,991.3386357,NA,Validation
1059,2300213,Y,Student,Ms,12/31/2017,R4K 0G,104.2,192,119,70,15,15,1,8,1,0,6,207.648247,0,Validation
1060,1639178,N,NA,Mr,2/2/2018,T1G 0E,62.1,240,91,57,10,10,1,3,0,2,5,110.8645527,NA,Estimation
1061,1533585,N,NA,Ms,1/6/2018,E8T 3S3,NA,231,NA,NA,31,62,2,20,8,1,33,786.1847475,NA,Validation
1062,3124528,NA,NA,Mrs,2/14/2018,J6N 0T0,97.3,116,173,17,17,34,2,21,0,0,13,430.2727038,NA,Holdout
1063,1438097,N,NA,Mr,2/21/2018,A2H 0A1,92.6,338,136,44,16,16,1,2,0,12,2,160.9564919,NA,Estimation
1064,1788903,NA,Senior,Dr,12/12/2017,G3Z 3W6,54.5,124,117,22,11,22,2,4,0,0,18,240.696913,NA,Holdout
1065,2311811,N,NA,NA,1/3/2018,H7M 3P8,41.8,213,275,14,21,42,2,0,2,8,32,570.7247657,NA,Estimation
1066,2432840,NA,NA,Dr,12/16/2017,E6J 1G9,33.3,276,164,27,15,15,1,0,1,0,14,165.8446344,NA,Holdout
1067,3296072,N,Senior,NA,1/23/2018,P8N 0L7,64.6,205,204,10,25,75,3,26,2,8,39,1019.462618,NA,Estimation
1068,2616358,N,NA,NA,11/28/2017,N7G 3K3,33.3,302,216,56,16,32,2,24,3,0,5,353.6744419,NA,Validation
1069,1337530,N,NA,Ms,2/6/2018,J8A 0T8,53.7,390,136,47,22,44,2,22,18,1,3,489.8270574,NA,Validation
1070,3175983,N,NA,Mr,1/22/2018,K7G 1Y,73.3,278,134,63,31,62,2,3,3,17,39,771.6151236,NA,Validation
1071,2971037,NA,NA,Ms,2/22/2018,G5H 3S,87.1,269,178,2,21,21,1,2,5,0,14,222.4606669,NA,Holdout
1072,1141759,N,NA,NA,1/17/2018,G5B 1H,53.6,128,263,39,15,45,3,3,13,29,0,621.9076143,NA,Estimation
1073,2319010,NA,NA,Ms,2/8/2018,E7L 3L,67.5,318,198,48,17,34,2,3,0,3,28,410.3843948,NA,Holdout
1074,2072401,Y,NA,Mrs,11/20/2017,B2T 2W,75.1,196,221,39,9,18,2,5,0,1,12,243.3048194,1,Estimation
1075,2641237,N,NA,NA,12/13/2017,J2W 0H,104.4,228,161,29,26,52,2,0,10,6,36,636.3525513,NA,Validation
1076,1781946,N,NA,Mr,12/31/2017,G5T 2B,50.8,208,267,69,18,36,2,0,15,2,19,406.2652691,NA,Estimation
1077,1912481,N,NA,NA,1/29/2018,E7B 3X,37.9,187,99,65,25,50,2,18,3,4,25,670.7067554,NA,Estimation
1078,3077294,N,NA,NA,1/10/2018,V0L 3S,NA,345,NA,NA,18,18,1,13,0,0,5,184.3741966,NA,Estimation
1079,1661976,Y,NA,NA,2/14/2018,B1B 1J,81.1,343,131,45,40,120,3,89,10,1,20,1404.842346,4,Estimation
1080,1383435,N,NA,NA,2/18/2018,H0H 2B,68.8,140,187,19,18,36,2,1,9,7,19,422.1426187,NA,Estimation
1081,1537581,N,Student,NA,1/17/2018,B0V 2H9,85.4,170,147,36,30,60,2,18,0,15,27,732.7443261,NA,Estimation
1082,3044363,N,NA,Mr,1/10/2018,J6R 3P0,67.2,199,167,43,17,34,2,7,0,8,19,378.2841497,NA,Validation
1083,1955565,Y,NA,NA,2/24/2018,L9N 0L2,77.9,114,227,25,49,49,1,4,29,2,14,672.8714576,1,Estimation
1084,2266456,N,NA,Ms,2/18/2018,B1K 1E1,74.5,243,149,11,44,25,0.568181818,12,0,3,10,253.7900034,NA,Validation
1085,3098552,NA,NA,NA,1/2/2018,L3V 1R5,70.5,241,108,5,9,27,3,8,1,0,18,323.0854355,2,Holdout
1086,2941878,Y,NA,NA,2/25/2018,G0S 1C4,57.5,294,196,53,50,100,2,2,27,22,49,1238.929696,1,Estimation
1087,1520056,N,Senior,Ms,1/15/2018,T1L 2L5,95.2,141,111,42,23,69,3,20,9,0,40,924.084897,NA,Validation
1088,1579889,N,Senior,Mr,12/21/2017,T1P 0G1,61.9,270,102,32,15,45,3,6,9,30,0,561.4302532,NA,Validation
1089,3319732,N,NA,Mrs,12/11/2017,V1R 2A4,83.3,264,125,37,22,66,3,2,0,37,27,738.1523063,NA,Estimation
1090,2782319,NA,NA,Ms,2/17/2018,B1K 2R,73.3,189,111,57,26,52,2,12,12,19,9,576.395486,NA,Holdout
1091,1238346,N,NA,NA,2/4/2018,J0M 0C,105.6,111,190,46,11,22,2,0,8,2,12,257.8014749,NA,Validation
1092,2360362,N,NA,Mrs,1/5/2018,J0E 1H,84.2,182,130,25,15,30,2,25,3,2,0,364.8380703,NA,Estimation
1093,3186199,N,Senior,Mrs,2/2/2018,H7X 3L,63.2,316,134,5,21,42,2,23,0,8,11,482.8881533,NA,Estimation
1094,1653570,N,NA,Mrs,2/15/2018,M8V 2J,69.8,250,180,39,20,60,3,10,0,4,46,604.9312979,NA,Estimation
1095,1344504,N,NA,NA,11/17/2017,E5M 3X,67.5,241,89,61,13,39,3,9,0,7,23,440.8780031,NA,Validation
1096,1239512,NA,NA,NA,2/6/2018,E4T 0H,28.2,1,167,23,15,15,1,0,0,4,11,166.3282194,NA,Holdout
1097,1592935,N,NA,NA,12/29/2017,H3J 1L,103.9,201,158,63,12,12,1,2,0,0,10,125.0460113,NA,Estimation
1098,2766249,NA,NA,Mr,12/30/2017,G6G 0C,91.3,243,148,52,17,34,2,17,3,14,0,363.7310114,NA,Holdout
1099,2897674,N,NA,NA,1/24/2018,E2A 1T,54.7,120,208,56,24,48,2,0,2,45,1,529.1136067,NA,Validation
1100,2824702,N,NA,NA,2/12/2018,E5T 3G,77.6,166,236,30,23,46,2,42,0,0,4,539.6140303,NA,Estimation
1101,2642843,N,Senior,Mr,1/17/2018,K9V 2C1,74.8,222,193,35,36,72,2,44,1,4,23,808.0751582,NA,Estimation
1102,2053588,NA,Senior,NA,2/18/2018,B1G 3Z9,47.3,211,224,0,39,39,1,8,5,6,20,545.553953,3,Holdout
1103,3241594,N,NA,NA,12/19/2017,T4L 0G4,99.8,267,222,19,10,20,2,8,0,11,1,228.946346,NA,Validation
1104,1782297,N,Senior,Ms,12/11/2017,E4H 0Z5,65,190,118,35,21,42,2,20,0,1,21,513.0763316,NA,Estimation
1105,1716826,N,NA,NA,12/1/2017,G6G 1L2,73.7,196,135,44,20,60,3,37,2,17,4,617.5396941,NA,Validation
1106,1680736,NA,Senior,Ms,2/6/2018,E1J 2Y1,78.1,275,200,34,27,27,1,14,1,3,9,338.5221256,NA,Holdout
1107,2809008,N,NA,Mrs,12/14/2017,R9A 2T9,50.1,203,175,15,16,32,2,0,2,8,22,418.6665009,NA,Estimation
1108,2079671,N,NA,NA,12/9/2017,K2S 1Z3,48.3,110,135,27,19,38,2,32,0,1,5,529.3852888,NA,Validation
1109,2218915,N,Senior,Mrs,2/3/2018,T4V 0R3,69,137,184,70,24,24,1,7,0,7,10,295.2320548,NA,Estimation
1110,3261109,NA,NA,NA,1/2/2018,R5G 2J,81.5,254,124,53,17,34,2,25,6,0,3,406.1062869,NA,Holdout
1111,2180591,NA,Student,Mr,12/20/2017,J0X 2W,71.5,253,114,44,17,34,2,16,3,11,4,345.1578642,NA,Holdout
1112,2000386,N,NA,Mrs,1/12/2018,E8A 3R,84.1,249,132,60,20,40,2,15,5,7,13,510.2019633,NA,Validation
1113,2780542,NA,NA,Ms,1/30/2018,K7G 0Y,76.7,237,172,57,12,12,1,4,3,4,1,130.0704262,NA,Holdout
1114,2618817,Y,Senior,NA,2/3/2018,G6L 3T,80.9,279,142,45,41,41,1,1,9,9,22,520.9437599,0,Estimation
1115,2275485,NA,Senior,Mr,2/26/2018,B2E 1P,41.9,169,182,28,14,28,2,4,2,5,17,359.2177863,3,Holdout
1116,2850759,N,NA,Mr,2/10/2018,R1A 1W,83.5,298,161,50,11,11,1,6,0,5,0,122.4853123,NA,Estimation
1117,2968923,N,NA,Ms,2/15/2018,G5V 1H,54.2,106,136,51,15,45,3,16,5,5,19,491.2455427,NA,Estimation
1118,2095729,N,NA,Ms,12/8/2017,J8N 2W,60.7,253,123,21,22,44,2,0,10,0,34,456.1457066,NA,Validation
1119,2509808,NA,NA,NA,12/9/2017,M4W 2R,67.9,172,158,48,20,60,3,16,4,8,32,796.5246358,NA,Holdout
1120,1475277,NA,NA,NA,1/19/2018,J5R 0V,37,249,129,2,21,42,2,6,0,0,36,500.3716873,NA,Holdout
1121,2334121,N,Senior,NA,12/26/2017,N3Y 0L3,68,191,89,8,27,54,2,3,4,18,29,705.520554,NA,Estimation
1122,2109120,N,NA,NA,12/12/2017,L7B 0K9,61.2,166,181,39,13,39,3,12,7,9,11,438.9616358,NA,Estimation
1123,2407956,NA,NA,Ms,1/24/2018,E3E 3C8,55.6,203,144,27,11,11,1,0,1,0,10,123.8198475,NA,Holdout
1124,2199006,Y,Senior,NA,2/17/2018,M1B 2Y6,58.9,221,126,7,8,16,2,0,0,2,14,160.6562901,0,Estimation
1125,1901224,NA,NA,Dr,2/21/2018,L7J 1W0,94.9,199,148,31,18,36,2,4,3,0,29,365.1164817,NA,Holdout
1126,3259326,N,Senior,Mrs,2/27/2018,B2G 2Z3,44.8,186,129,39,21,42,2,1,2,3,36,453.8416781,NA,Validation
1127,1196500,N,Senior,Mrs,12/23/2017,T4X 2L5,65.7,137,208,36,13,26,2,2,1,9,14,309.6215267,NA,Validation
1128,2021695,N,NA,Mr,12/8/2017,L9S 0V2,20.6,283,128,76,24,48,2,5,5,1,37,559.259125,NA,Estimation
1129,2263886,N,NA,Mr,2/25/2018,E8P 0P8,56.5,203,169,53,14,42,3,10,0,7,25,547.1814914,NA,Estimation
1130,3173116,NA,Senior,Mr,12/28/2017,E7P 3V,60,218,168,10,21,42,2,15,16,10,1,577.6178408,NA,Holdout
1131,2559122,N,Senior,Mr,2/6/2018,E4X 3R,100.8,293,147,16,24,24,1,3,4,11,6,259.2898693,NA,Estimation
1132,1542969,Y,NA,NA,2/15/2018,E8P 2J,50.8,319,220,30,46,46,1,17,4,5,20,515.7916343,4,Validation
1133,1384872,NA,Senior,Ms,12/4/2017,T7Z 0L,52.6,308,110,30,23,46,2,0,0,23,23,553.3802231,NA,Holdout
1134,1782664,NA,NA,NA,1/2/2018,J5A 1G,42,177,213,46,29,58,2,19,2,21,16,677.5448529,NA,Holdout
1135,3252570,N,NA,NA,11/6/2017,E5P 2J,73.6,246,142,21,12,24,2,0,5,10,9,323.1742925,NA,Estimation
1136,1805715,Y,NA,Mr,1/26/2018,J8N 0S,93.1,314,168,42,12,24,2,17,3,0,4,246.8253165,3,Estimation
1137,2924002,N,NA,Mrs,2/9/2018,E5M 0C,46,107,83,24,26,78,3,49,5,7,17,1089.815829,NA,Estimation
1138,2847259,NA,Senior,Mr,1/29/2018,J1A 3L,61.5,104,84,63,24,24,1,4,0,0,20,300.281385,NA,Holdout
1139,3080652,N,NA,Mrs,2/18/2018,E7B 0V,97.3,208,244,40,33,66,2,0,2,17,47,789.5293958,NA,Validation
1140,2211764,NA,NA,Mrs,2/8/2018,E5A 0R,56.3,158,161,50,24,24,1,14,1,5,4,258.376545,NA,Holdout
1141,2473595,Y,NA,Ms,2/24/2018,N4X 2K1,83.7,352,172,41,19,57,3,41,9,6,1,635.8141734,4,Estimation
1142,2641240,NA,Senior,Ms,2/12/2018,G0C 3L6,77.8,287,179,24,42,84,2,0,19,40,25,892.088711,0,Holdout
1143,1319364,NA,NA,Ms,1/24/2018,J3T 1W6,43.9,12,163,33,22,66,3,53,7,3,3,730.5461246,NA,Holdout
1144,3184820,N,NA,Dr,1/3/2018,J5W 0S1,94.3,83,96,58,15,30,2,13,4,13,0,302.6772187,NA,Validation
1145,2473919,Y,NA,Ms,1/23/2018,G0T 0J4,85.9,258,137,36,38,76,2,20,8,6,42,793.6112652,3,Validation
1146,1301152,N,NA,NA,1/26/2018,A0E 1Y1,60.2,226,163,45,12,24,2,0,0,16,8,253.4678645,NA,Estimation
1147,1816707,N,NA,Mr,2/18/2018,J5A 2L3,51.9,349,224,45,32,96,3,39,0,1,56,1264.601969,NA,Validation
1148,1634511,N,NA,Ms,2/1/2018,J0M 3W4,62.2,214,97,40,13,13,1,1,0,1,11,140.2746316,NA,Estimation
1149,2938528,NA,NA,NA,1/20/2018,V9G 0S7,86.3,328,71,24,27,81,3,0,26,3,52,1007.901444,NA,Holdout
1150,1643366,N,Senior,Mrs,11/11/2017,G0R 0K,58.7,62,103,30,15,30,2,13,1,4,12,373.9292773,NA,Estimation
1151,2514063,N,Senior,Mr,12/28/2017,J8H 1H,32.5,125,99,29,10,20,2,4,3,6,7,223.640324,NA,Validation
1152,3286824,N,NA,Mrs,2/12/2018,E8B 3A,67.1,211,203,63,34,68,2,3,1,1,63,860.5894927,NA,Estimation
1153,2456644,NA,Student,Ms,1/27/2018,G0R 1H,85.4,165,123,42,23,69,3,59,10,0,0,864.4632533,NA,Holdout
1154,1995421,N,NA,NA,2/13/2018,E5B 1H,46.8,143,91,50,28,56,2,27,5,11,13,693.0789988,NA,Estimation
1155,2131971,NA,Senior,NA,1/5/2018,T1G 3A,65.2,117,157,44,22,66,3,0,23,0,43,758.7306828,NA,Holdout
1156,2457545,N,Student,NA,1/19/2018,L6A 3A,45.6,162,171,28,9,9,1,0,0,1,8,121.877299,NA,Estimation
1157,2726499,N,NA,NA,12/13/2017,E6L 2W,72.3,91,147,32,14,28,2,19,0,0,9,355.0376307,NA,Estimation
1158,2885677,N,Senior,Mr,1/17/2018,H7B 0V,67.4,152,199,24,25,50,2,12,0,13,25,603.344961,NA,Estimation
1159,1589141,Y,NA,Ms,2/8/2018,E5J 0E,69.3,263,190,41,35,105,3,12,48,45,0,1179.341198,1,Validation
1160,1797884,NA,Senior,Mr,2/11/2018,L7J 0W,57.6,146,120,60,16,16,1,0,0,0,16,214.6785037,NA,Holdout
1161,2883671,NA,NA,NA,2/20/2018,J2N 1S7,55.8,264,157,33,40,80,2,32,32,7,9,902.9781923,NA,Holdout
1162,2497718,N,NA,NA,12/6/2017,N3Y 3P6,87.4,223,113,37,16,16,1,6,4,5,1,183.6670403,NA,Validation
1163,1320429,NA,NA,NA,1/1/2018,S9X 1X3,72.1,227,240,30,10,20,2,4,4,3,9,218.9938146,3,Holdout
1164,2194786,NA,NA,NA,2/9/2018,T1G 1Z9,66.3,49,120,41,37,74,2,7,8,16,43,996.7711447,NA,Holdout
1165,3079020,N,NA,NA,2/1/2018,H7X 3H8,5.7,65,195,18,12,12,1,6,0,0,6,164.5876511,NA,Validation
1166,1976889,N,NA,NA,2/11/2018,J4V 0C8,NA,209,NA,NA,30,90,3,16,13,21,40,1090.515841,NA,Estimation
1167,2259108,NA,Student,Mr,2/12/2018,T9M 1G6,85.3,322,117,39,17,34,2,9,0,7,18,439.0323949,NA,Holdout
1168,1232095,NA,NA,Ms,1/21/2018,A1Y 2E4,NA,266,NA,NA,29,58,2,29,0,8,21,704.7480168,NA,Holdout
1169,2418950,NA,NA,NA,12/21/2017,V4V 3E8,45.8,192,175,28,18,36,2,27,4,2,3,361.7220262,NA,Holdout
1170,2650773,N,NA,NA,1/29/2018,H8R 2L,61.2,288,139,17,34,68,2,7,16,43,2,936.3267576,NA,Estimation
1171,3047031,NA,NA,Mrs,12/4/2017,T4X 1T,62.5,190,157,46,16,48,3,8,6,0,34,513.9649002,0,Holdout
1172,1972865,N,NA,NA,2/2/2018,K1E 2Y,60,199,138,70,14,28,2,7,3,2,16,356.2976098,NA,Estimation
1173,1163138,NA,Senior,NA,1/16/2018,G4W 0G,79.9,307,174,38,19,38,2,24,0,11,3,384.720253,NA,Holdout
1174,1519916,NA,NA,Mr,1/13/2018,L4P 1W,100.4,116,294,30,19,38,2,10,0,0,28,383.0776931,NA,Holdout
1175,1261342,NA,NA,NA,2/17/2018,J5A 0H,89.8,189,187,70,22,44,2,37,0,5,2,505.4176694,NA,Holdout
1176,1472824,NA,NA,Ms,12/15/2017,L9T 2J,94.9,139,138,37,11,11,1,2,0,2,7,123.8965329,NA,Holdout
1177,2274888,N,Student,Ms,12/27/2017,J4V 2J,63.4,161,125,63,20,40,2,5,0,10,25,465.7704148,NA,Estimation
1178,2514420,N,NA,Mrs,2/26/2018,H9P 3P,86.9,86,218,29,28,56,2,6,13,21,16,694.312299,NA,Validation
1179,2340164,NA,NA,Mr,2/2/2018,R4K 0G,50.4,208,177,31,20,40,2,2,13,25,0,518.0794786,NA,Holdout
1180,1498158,Y,NA,NA,2/10/2018,T1G 0E,67.2,268,163,36,45,45,1,18,2,10,15,526.7978827,1,Estimation
1181,2101572,N,Student,Mr,1/3/2018,E8T 3S3,113.7,193,125,68,29,58,2,10,0,6,42,730.0451348,NA,Estimation
1182,1350861,N,NA,NA,11/28/2017,J6N 0T0,69.7,179,259,59,21,42,2,17,0,1,24,485.0970927,NA,Estimation
1183,2435736,N,Senior,Mr,1/17/2018,A2H 0A1,63.9,242,164,45,29,87,3,52,21,11,3,1107.14626,NA,Validation
1184,2055607,NA,NA,NA,1/5/2018,G3Z 3W6,58.3,294,126,74,15,30,2,5,9,9,7,321.1344289,5,Holdout
1185,3031963,N,NA,Mr,11/3/2017,H7M 3P8,85.4,269,107,20,7,14,2,7,1,6,0,185.2194983,NA,Validation
1186,2871140,NA,NA,NA,2/8/2018,E6J 1G9,112.1,255,201,29,44,88,2,67,0,21,0,1024.136626,8,Holdout
1187,2579426,Y,NA,Mr,2/2/2018,P8N 0L7,78.2,298,175,50,13,13,1,0,3,1,9,133.1646653,5,Estimation
1188,1446797,NA,NA,Mr,2/14/2018,N7G 3K3,64.8,130,255,38,15,30,2,9,0,11,10,321.2054489,NA,Holdout
1189,2130102,N,NA,Dr,2/25/2018,J8A 0T8,111.5,195,208,44,21,63,3,1,21,3,38,645.3321413,NA,Validation
1190,1789673,N,Senior,Ms,2/21/2018,K7G 1Y,54.4,265,97,27,33,66,2,0,6,22,38,675.904285,NA,Validation
